"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.39404714402606e-168,0.583660047231521,0.611,0.406,2.70629519518498e-163,"0","SSH2"
1.32200555977464e-165,1.1950805998392,0.374,0.191,4.83867254933116e-161,"0","RASGRP2"
1.53253724546749e-163,1.38852974243834,0.34,0.171,5.60923957213556e-159,"0","AP1B1"
1.61985494840706e-163,0.753000760625765,0.768,0.689,5.92883109666467e-159,"0","RPL27A"
2.0879103100731e-160,1.03468961930247,0.617,0.479,7.64196052589854e-156,"0","ERP29"
5.2578447572495e-158,0.955780110079514,0.636,0.513,1.92442375960089e-153,"0","AC138123.1"
2.89584748272886e-154,1.48575910545094,0.256,0.112,1.05990913715359e-149,"0","DAPP1"
5.56227885234485e-152,0.89019872455588,0.566,0.39,2.03584968274674e-147,"0","RNASET2"
6.13217279404654e-151,0.860764892794009,0.683,0.563,2.24443656434898e-146,"0","EIF3F"
2.05473095552791e-149,1.43051965020885,0.37,0.213,7.52052077032769e-145,"0","TSPAN3"
2.08173586055459e-149,0.582222799783452,0.523,0.318,7.61936142321586e-145,"0","PRKCB"
7.26189716917444e-147,0.948627453771593,0.439,0.258,2.65792698288954e-142,"0","PRDM2"
1.56616176754557e-146,0.868072178709352,0.621,0.454,5.73230868539353e-142,"0","ISG20"
4.7362247371301e-146,0.758301775264444,0.722,0.613,1.73350561603699e-141,"0","HINT1"
3.19224341633836e-145,0.81753896308971,0.463,0.28,1.168393012814e-140,"0","ZCCHC7"
3.73684165607702e-143,1.27184357152992,0.359,0.196,1.36772141454075e-138,"0","RGS19"
2.79541552529816e-141,0.720476512206693,0.469,0.275,1.02315003641438e-136,"0","INPP5D"
5.25351382864827e-141,1.0055939069357,0.601,0.469,1.92283859642355e-136,"0","EIF3E"
3.95030251851757e-138,1.52747361085333,0.256,0.116,1.44585022480262e-133,"0","CALHM6"
5.35910290760131e-136,0.602840602656137,0.808,0.714,1.96148525521115e-131,"0","BTF3"
5.49875948367381e-136,1.35603548866919,0.262,0.12,2.01260095861945e-131,"0","TRAF5"
3.14277092371848e-135,1.08859250864629,0.55,0.427,1.1502855857902e-130,"0","RPL22L1"
3.68155672929514e-135,1.28115464871612,0.311,0.161,1.34748657848932e-130,"0","MARCKSL1"
7.93274763650691e-133,1.02230861243686,0.384,0.214,2.90346496243789e-128,"0","SLC44A2"
1.34051056372668e-130,0.707964585373843,0.677,0.512,4.90640271429603e-126,"0","CD53"
1.22974471472337e-128,0.634561243212298,0.773,0.693,4.500988630359e-124,"0","TOMM7"
5.90670759844627e-127,0.406820859611214,0.785,0.564,2.16191404810732e-122,"0","CORO1A"
1.2900057941706e-126,1.42394984085489,0.291,0.152,4.72155020724382e-122,"0","MBD4"
1.92846053580396e-126,0.982738588552124,0.463,0.291,7.05835840709608e-122,"0","TRIM22"
1.57748182598425e-125,0.95833304838523,0.274,0.129,5.77374123128495e-121,"0","SIDT1"
6.30624386717294e-125,1.08589848658599,0.538,0.416,2.30814831782397e-120,"0","LSM7"
7.31001081525503e-125,0.804496580740848,0.41,0.249,2.67553705849149e-120,"0","TCF4"
1.71293810259971e-124,1.17196534062918,0.266,0.127,6.2695247493252e-120,"0","PIKFYVE"
2.4173322244752e-124,1.1445381946057,0.254,0.118,8.84767767480168e-120,"0","GNB5"
5.81815337891916e-124,0.909721756975656,0.597,0.47,2.1295023182182e-119,"0","EIF3L"
9.40304600767279e-124,1.18200071185808,0.393,0.244,3.44160886926832e-119,"0","PARP1"
1.58325942035778e-123,0.746468550631935,0.41,0.244,5.7948878044515e-119,"0","SNX29"
3.75879572040886e-123,1.2298892174511,0.263,0.126,1.37575682162685e-118,"0","DCK"
1.94429521326217e-122,0.716688617924733,0.601,0.437,7.11631491006087e-118,"0","CD55"
2.04412053483955e-122,1.01072833074438,0.261,0.127,7.48168556956622e-118,"0","COBLL1"
2.2457187918147e-121,1.17109956357741,0.369,0.223,8.21955534992098e-117,"0","NT5C"
2.80331397495686e-120,1.08147898604019,0.34,0.188,1.02604094797396e-115,"0","SASH3"
5.23623274038457e-120,0.306595530995343,0.994,0.974,1.91651354530816e-115,"0","MT-ATP8"
2.57809960592942e-118,0.557909561807506,0.784,0.703,9.43610236766226e-114,"0","HSP90AB1"
1.31331983557765e-117,0.543874039311115,0.864,0.772,4.80688193019774e-113,"0","PPIA"
2.61024743534587e-117,0.897942830355462,0.568,0.447,9.55376663810941e-113,"0","SNHG8"
3.34191796177491e-116,0.836670312647928,0.371,0.214,1.22317539318924e-111,"0","PDLIM1"
8.63969794227906e-116,0.740296598174694,0.534,0.363,3.16221584385356e-111,"0","STK17A"
1.51159440374003e-115,0.911094501837978,0.323,0.173,5.53258667712889e-111,"0","ARHGAP25"
5.09789794777349e-115,0.400428490636427,0.626,0.454,1.86588162786457e-110,"0","ANKRD44"
6.66758545100606e-114,0.829419060841471,0.423,0.263,2.44040295092273e-109,"0","UVRAG"
1.43561574179619e-113,0.561057644368223,0.456,0.293,5.25449717654825e-109,"0","FCHSD2"
3.48295252896155e-113,0.673052941154265,0.692,0.593,1.27479545512522e-108,"0","SNHG29"
2.04072896288873e-107,0.678082613619638,0.448,0.297,7.46927207706903e-103,"0","NCOA3"
3.9655052688181e-107,0.552378449096368,0.766,0.691,1.45141458344011e-102,"0","SLC25A6"
7.54707075181083e-107,0.769169162425387,0.522,0.357,2.76230336587028e-102,"0","CD48"
7.87885612073712e-107,0.693373072593243,0.691,0.613,2.88374012875099e-102,"0","RPL23"
1.02459959381596e-106,0.622873919140659,0.754,0.682,3.75013697332578e-102,"0","CIRBP"
6.32600778181848e-105,0.471955863980653,0.849,0.773,2.31538210822338e-100,"0","OAZ1"
6.77234329949198e-105,1.50218747361543,0.28,0.154,2.47874537104706e-100,"0","SNHG7"
1.77547720072219e-104,0.358446726640475,0.403,0.236,6.49842410236329e-100,"0","TMEM131L"
1.14317419153578e-103,0.506874292624911,0.815,0.742,4.18413185844013e-99,"0","COX4I1"
